title,source,url,state,category,country,status
NGO Foundation 45,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 46,Generated Dataset,,delhi,health,india,active
NGO Foundation 47,Generated Dataset,,delhi,health,india,active
NGO Foundation 48,Generated Dataset,,delhi,education,india,active
NGO Foundation 49,Generated Dataset,,delhi,social,india,active
NGO Foundation 50,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 51,Generated Dataset,,karnataka,food,india,active
NGO Foundation 52,Generated Dataset,,delhi,health,india,active
NGO Foundation 53,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 54,Generated Dataset,,karnataka,health,india,active
NGO Foundation 55,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 56,Generated Dataset,,delhi,environment,india,active
NGO Foundation 57,Generated Dataset,,tamil nadu,food,india,active
NGO Foundation 58,Generated Dataset,,karnataka,women,india,active
NGO Foundation 59,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 60,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 61,Generated Dataset,,karnataka,health,india,active
NGO Foundation 62,Generated Dataset,,delhi,women,india,active
NGO Foundation 63,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 64,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 65,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 66,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 67,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 68,Generated Dataset,,tamil nadu,food,india,active
NGO Foundation 69,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 70,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 71,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 72,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 73,Generated Dataset,,tamil nadu,food,india,active
NGO Foundation 74,Generated Dataset,,delhi,environment,india,active
NGO Foundation 75,Generated Dataset,,delhi,women,india,active
NGO Foundation 76,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 77,Generated Dataset,,delhi,social,india,active
NGO Foundation 78,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 79,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 80,Generated Dataset,,delhi,health,india,active
NGO Foundation 81,Generated Dataset,,delhi,environment,india,active
NGO Foundation 82,Generated Dataset,,tamil nadu,food,india,active
NGO Foundation 83,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 84,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 85,Generated Dataset,,delhi,health,india,active
NGO Foundation 86,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 87,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 88,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 89,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 90,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 91,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 92,Generated Dataset,,karnataka,education,india,active
NGO Foundation 93,Generated Dataset,,delhi,women,india,active
NGO Foundation 94,Generated Dataset,,karnataka,women,india,active
NGO Foundation 95,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 96,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 97,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 98,Generated Dataset,,karnataka,social,india,active
NGO Foundation 99,Generated Dataset,,delhi,education,india,active
NGO Foundation 100,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 101,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 102,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 103,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 104,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 105,Generated Dataset,,karnataka,food,india,active
NGO Foundation 106,Generated Dataset,,delhi,education,india,active
NGO Foundation 107,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 108,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 109,Generated Dataset,,delhi,social,india,active
NGO Foundation 110,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 111,Generated Dataset,,delhi,social,india,active
NGO Foundation 112,Generated Dataset,,delhi,women,india,active
NGO Foundation 113,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 114,Generated Dataset,,delhi,health,india,active
NGO Foundation 115,Generated Dataset,,delhi,health,india,active
NGO Foundation 116,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 117,Generated Dataset,,karnataka,food,india,active
NGO Foundation 118,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 119,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 120,Generated Dataset,,delhi,food,india,active
NGO Foundation 121,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 122,Generated Dataset,,delhi,health,india,active
NGO Foundation 123,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 124,Generated Dataset,,delhi,social,india,active
NGO Foundation 125,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 126,Generated Dataset,,delhi,social,india,active
NGO Foundation 127,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 128,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 129,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 130,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 131,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 132,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 133,Generated Dataset,,delhi,education,india,active
NGO Foundation 134,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 135,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 136,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 137,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 138,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 139,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 140,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 141,Generated Dataset,,delhi,environment,india,active
NGO Foundation 142,Generated Dataset,,karnataka,women,india,active
NGO Foundation 143,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 144,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 145,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 146,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 147,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 148,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 149,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 150,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 151,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 152,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 153,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 154,Generated Dataset,,karnataka,women,india,active
NGO Foundation 155,Generated Dataset,,karnataka,food,india,active
NGO Foundation 156,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 157,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 158,Generated Dataset,,delhi,education,india,active
NGO Foundation 159,Generated Dataset,,karnataka,food,india,active
NGO Foundation 160,Generated Dataset,,delhi,health,india,active
NGO Foundation 161,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 162,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 163,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 164,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 165,Generated Dataset,,karnataka,education,india,active
NGO Foundation 166,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 167,Generated Dataset,,karnataka,women,india,active
NGO Foundation 168,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 169,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 170,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 171,Generated Dataset,,delhi,women,india,active
NGO Foundation 172,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 173,Generated Dataset,,delhi,social,india,active
NGO Foundation 174,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 175,Generated Dataset,,karnataka,women,india,active
NGO Foundation 176,Generated Dataset,,karnataka,education,india,active
NGO Foundation 177,Generated Dataset,,karnataka,food,india,active
NGO Foundation 178,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 179,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 180,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 181,Generated Dataset,,karnataka,food,india,active
NGO Foundation 182,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 183,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 184,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 185,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 186,Generated Dataset,,karnataka,women,india,active
NGO Foundation 187,Generated Dataset,,tamil nadu,food,india,active
NGO Foundation 188,Generated Dataset,,karnataka,education,india,active
NGO Foundation 189,Generated Dataset,,delhi,health,india,active
NGO Foundation 190,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 191,Generated Dataset,,delhi,social,india,active
NGO Foundation 192,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 193,Generated Dataset,,delhi,education,india,active
NGO Foundation 194,Generated Dataset,,delhi,education,india,active
NGO Foundation 195,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 196,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 197,Generated Dataset,,karnataka,social,india,active
NGO Foundation 198,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 199,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 200,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 201,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 202,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 203,Generated Dataset,,karnataka,education,india,active
NGO Foundation 204,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 205,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 206,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 207,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 208,Generated Dataset,,delhi,food,india,active
NGO Foundation 209,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 210,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 211,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 212,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 213,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 214,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 215,Generated Dataset,,karnataka,education,india,active
NGO Foundation 216,Generated Dataset,,delhi,women,india,active
NGO Foundation 217,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 218,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 219,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 220,Generated Dataset,,tamil nadu,food,india,active
NGO Foundation 221,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 222,Generated Dataset,,karnataka,education,india,active
NGO Foundation 223,Generated Dataset,,delhi,environment,india,active
NGO Foundation 224,Generated Dataset,,delhi,environment,india,active
NGO Foundation 225,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 226,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 227,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 228,Generated Dataset,,delhi,environment,india,active
NGO Foundation 229,Generated Dataset,,delhi,social,india,active
NGO Foundation 230,Generated Dataset,,delhi,health,india,active
NGO Foundation 231,Generated Dataset,,delhi,food,india,active
NGO Foundation 232,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 233,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 234,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 235,Generated Dataset,,karnataka,food,india,active
NGO Foundation 236,Generated Dataset,,delhi,social,india,active
NGO Foundation 237,Generated Dataset,,karnataka,education,india,active
NGO Foundation 238,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 239,Generated Dataset,,delhi,environment,india,active
NGO Foundation 240,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 241,Generated Dataset,,karnataka,women,india,active
NGO Foundation 242,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 243,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 244,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 245,Generated Dataset,,delhi,food,india,active
NGO Foundation 246,Generated Dataset,,delhi,food,india,active
NGO Foundation 247,Generated Dataset,,karnataka,food,india,active
NGO Foundation 248,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 249,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 250,Generated Dataset,,delhi,social,india,active
NGO Foundation 251,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 252,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 253,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 254,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 255,Generated Dataset,,karnataka,health,india,active
NGO Foundation 256,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 257,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 258,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 259,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 260,Generated Dataset,,karnataka,food,india,active
NGO Foundation 261,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 262,Generated Dataset,,delhi,food,india,active
NGO Foundation 263,Generated Dataset,,delhi,environment,india,active
NGO Foundation 264,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 265,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 266,Generated Dataset,,karnataka,health,india,active
NGO Foundation 267,Generated Dataset,,tamil nadu,food,india,active
NGO Foundation 268,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 269,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 270,Generated Dataset,,delhi,education,india,active
NGO Foundation 271,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 272,Generated Dataset,,karnataka,women,india,active
NGO Foundation 273,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 274,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 275,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 276,Generated Dataset,,tamil nadu,food,india,active
NGO Foundation 277,Generated Dataset,,karnataka,food,india,active
NGO Foundation 278,Generated Dataset,,delhi,environment,india,active
NGO Foundation 279,Generated Dataset,,tamil nadu,food,india,active
NGO Foundation 280,Generated Dataset,,delhi,social,india,active
NGO Foundation 281,Generated Dataset,,karnataka,food,india,active
NGO Foundation 282,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 283,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 284,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 285,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 286,Generated Dataset,,karnataka,food,india,active
NGO Foundation 287,Generated Dataset,,karnataka,women,india,active
NGO Foundation 288,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 289,Generated Dataset,,karnataka,social,india,active
NGO Foundation 290,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 291,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 292,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 293,Generated Dataset,,delhi,women,india,active
NGO Foundation 294,Generated Dataset,,delhi,social,india,active
NGO Foundation 295,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 296,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 297,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 298,Generated Dataset,,karnataka,women,india,active
NGO Foundation 299,Generated Dataset,,karnataka,food,india,active
NGO Foundation 300,Generated Dataset,,delhi,women,india,active
NGO Foundation 301,Generated Dataset,,karnataka,health,india,active
NGO Foundation 302,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 303,Generated Dataset,,tamil nadu,food,india,active
NGO Foundation 304,Generated Dataset,,karnataka,education,india,active
NGO Foundation 305,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 306,Generated Dataset,,karnataka,social,india,active
NGO Foundation 307,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 308,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 309,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 310,Generated Dataset,,karnataka,social,india,active
NGO Foundation 311,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 312,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 313,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 314,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 315,Generated Dataset,,delhi,health,india,active
NGO Foundation 316,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 317,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 318,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 319,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 320,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 321,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 322,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 323,Generated Dataset,,delhi,environment,india,active
NGO Foundation 324,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 325,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 326,Generated Dataset,,karnataka,social,india,active
NGO Foundation 327,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 328,Generated Dataset,,karnataka,social,india,active
NGO Foundation 329,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 330,Generated Dataset,,delhi,social,india,active
NGO Foundation 331,Generated Dataset,,karnataka,social,india,active
NGO Foundation 332,Generated Dataset,,karnataka,food,india,active
NGO Foundation 333,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 334,Generated Dataset,,delhi,environment,india,active
NGO Foundation 335,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 336,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 337,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 338,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 339,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 340,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 341,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 342,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 343,Generated Dataset,,karnataka,health,india,active
NGO Foundation 344,Generated Dataset,,karnataka,food,india,active
NGO Foundation 345,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 346,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 347,Generated Dataset,,delhi,social,india,active
NGO Foundation 348,Generated Dataset,,delhi,social,india,active
NGO Foundation 349,Generated Dataset,,karnataka,social,india,active
NGO Foundation 350,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 351,Generated Dataset,,delhi,social,india,active
NGO Foundation 352,Generated Dataset,,karnataka,women,india,active
NGO Foundation 353,Generated Dataset,,delhi,environment,india,active
NGO Foundation 354,Generated Dataset,,karnataka,social,india,active
NGO Foundation 355,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 356,Generated Dataset,,delhi,women,india,active
NGO Foundation 357,Generated Dataset,,karnataka,social,india,active
NGO Foundation 358,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 359,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 360,Generated Dataset,,karnataka,education,india,active
NGO Foundation 361,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 362,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 363,Generated Dataset,,delhi,social,india,active
NGO Foundation 364,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 365,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 366,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 367,Generated Dataset,,karnataka,health,india,active
NGO Foundation 368,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 369,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 370,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 371,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 372,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 373,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 374,Generated Dataset,,delhi,education,india,active
NGO Foundation 375,Generated Dataset,,delhi,environment,india,active
NGO Foundation 376,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 377,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 378,Generated Dataset,,delhi,health,india,active
NGO Foundation 379,Generated Dataset,,delhi,social,india,active
NGO Foundation 380,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 381,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 382,Generated Dataset,,delhi,social,india,active
NGO Foundation 383,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 384,Generated Dataset,,karnataka,women,india,active
NGO Foundation 385,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 386,Generated Dataset,,karnataka,women,india,active
NGO Foundation 387,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 388,Generated Dataset,,delhi,education,india,active
NGO Foundation 389,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 390,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 391,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 392,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 393,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 394,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 395,Generated Dataset,,delhi,health,india,active
NGO Foundation 396,Generated Dataset,,delhi,food,india,active
NGO Foundation 397,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 398,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 399,Generated Dataset,,delhi,environment,india,active
NGO Foundation 400,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 401,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 402,Generated Dataset,,karnataka,food,india,active
NGO Foundation 403,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 404,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 405,Generated Dataset,,delhi,health,india,active
NGO Foundation 406,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 407,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 408,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 409,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 410,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 411,Generated Dataset,,karnataka,education,india,active
NGO Foundation 412,Generated Dataset,,delhi,environment,india,active
NGO Foundation 413,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 414,Generated Dataset,,delhi,food,india,active
NGO Foundation 415,Generated Dataset,,delhi,women,india,active
NGO Foundation 416,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 417,Generated Dataset,,delhi,social,india,active
NGO Foundation 418,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 419,Generated Dataset,,delhi,women,india,active
NGO Foundation 420,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 421,Generated Dataset,,karnataka,social,india,active
NGO Foundation 422,Generated Dataset,,delhi,food,india,active
NGO Foundation 423,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 424,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 425,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 426,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 427,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 428,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 429,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 430,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 431,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 432,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 433,Generated Dataset,,delhi,food,india,active
NGO Foundation 434,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 435,Generated Dataset,,karnataka,health,india,active
NGO Foundation 436,Generated Dataset,,delhi,food,india,active
NGO Foundation 437,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 438,Generated Dataset,,karnataka,food,india,active
NGO Foundation 439,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 440,Generated Dataset,,delhi,environment,india,active
NGO Foundation 441,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 442,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 443,Generated Dataset,,delhi,women,india,active
NGO Foundation 444,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 445,Generated Dataset,,karnataka,social,india,active
NGO Foundation 446,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 447,Generated Dataset,,uttar pradesh,food,india,active
